Document_ID,M_Product_ID,C_Charge_ID,C_UOM_ID,QtyEntered,PriceEntered,DropShip_BPartner_ID,DropShip_Location_ID
1000,TF_ROBOT_AC,,Each,1,10000,,
1001,TF_ROBOT_COS_CL_ATTLOTGD,,Each,1,1000,,
1002,TF_ROBOT_Earpone,,Each,200,1000,,
1003,TF_PAPER,,Each,1,1000,,
1004,TF_ROBOT_AC,,Each,1,10000,AUTOMATION_COBA,jakarta Timur
1005,P_ROBOT01,,Each,10,10000,,
1006,P_ROBOT02,,Each,10,10000,,
1007,P_ROBOT03,,Each,10,10000,,
1008,P_ROBOT04,,Each,10,10000,,
1009,P_ROBOT05,,Each,10,10000,,
1010,P_ROBOT01,,Each,5,10000,,
1011,P_ROBOT02,,Each,5,10000,,
1012,P_ROBOT03,,Each,5,10000,,
1013,P_ROBOT04,,Each,5,10000,,
1014,P_ROBOT05,,Each,5,10000,,
1015,,RobotCharge,Each,1,10000,,
1016,TF_ROBOT_AC,,Each,10,10000,,
1017,TF_ROBOT_Earpone,,Each,10,10000,,
1018,TF_ROBOT_Proyektor,,Each,10,10000,,
1019,TF_ROBOT_Mouse,,Each,10,10000,,
1020,TF_ROBOT_Kabel,,Each,10,10000,,
1021,TF_ROBOT_AC,,Each,5,10000,,
1022,TF_ROBOT_Earpone,,Each,5,10000,,
1023,TF_ROBOT_Proyektor,,Each,5,10000,,
1024,TF_ROBOT_Mouse,,Each,5,10000,,
1025,TF_ROBOT_Kabel,,Each,5,10000,,
